displayName,uid,text,createdAt,Arg Category,Position,ConvoNum
YmTlW7,YmTlW7lFvJZBNC3ly68ccb1c4ji2,Have a nice day :),2022-04-06T18:20:17.823Z,Closing remarks,Persuader,11
M7xlOA,M7xlOACEAsePu7BG2rqkQK4tVCb2,Hey how are you?,2022-02-11T19:47:04.735Z,Opening remarks,Persuader,12
odwZQR,odwZQRrW8JYj7NAhkO2vr3wrbBA3,I am pretty good,2022-02-11T19:47:14.521Z,Opening remarks user response,Persuadee,12
M7xlOA,M7xlOACEAsePu7BG2rqkQK4tVCb2,I think Online learning is the best way to learn because you are in your comfort zone and can work with your own schedule,2022-02-11T19:47:47.979Z,Logical appeal,Persuader,12
odwZQR,odwZQRrW8JYj7NAhkO2vr3wrbBA3,I agree that it is more comfortable but I find it more difficult to ask questions virtually instead of office hours.,2022-02-11T19:48:25.759Z,Personal story user response,Persuadee,12
M7xlOA,M7xlOACEAsePu7BG2rqkQK4tVCb2,"I feel like because of things like sharing screen, taking control of someones screen have made it easier to ask questions online",2022-02-11T19:49:36.966Z,Logical appeal,Persuader,12
odwZQR,odwZQRrW8JYj7NAhkO2vr3wrbBA3,I agree with you there. However I feel like I can explain my questions better on paper rather than on screen,2022-02-11T19:50:37.856Z,Logical appeal user response,Persuadee,12
M7xlOA,M7xlOACEAsePu7BG2rqkQK4tVCb2,you can still always show your work through video. I do agree that sometimes video quality can be a problem,2022-02-11T19:52:03.236Z,Logical appeal,Persuader,12
odwZQR,odwZQRrW8JYj7NAhkO2vr3wrbBA3,I believe part of the problem is classrooms not having a uniform way to write on an online screen.,2022-02-11T19:53:34.757Z,Logical appeal user response,Persuadee,12
M7xlOA,M7xlOACEAsePu7BG2rqkQK4tVCb2,thats a good point! I have nothing else to say goodbye nice chat,2022-02-11T19:54:10.109Z,Closing remarks,Persuader,12
6sncTa,6sncTaUYliXfuYajHbvN88JlWOH2,"Hello, How are you! There is a lot of talk about whether or not online learning is better than the traditional learning environment. Would you be willing to be convinced that it is better?",2022-04-06T18:36:57.994Z,Opening remarks,Persuader,13
48gsIn,48gsInq5azRJDZ4cDUat6uz2JP32,Yeah sure! What do you think are the benefits on online learning?,2022-04-06T18:37:37.499Z,Thought-provoking inquiry user response,Persuadee,13
6sncTa,6sncTaUYliXfuYajHbvN88JlWOH2,"I think that there are a lot. There is an extremly controlled environment and the student can essentially chose how they can learn so online learning can be extremly personalized. Also, a student won't have to miss any material because they are available online. they can print all of it at home.",2022-04-06T18:39:46.162Z,Logical appeal,Persuader,13
48gsIn,48gsInq5azRJDZ4cDUat6uz2JP32,"The primary issue with online learning is inconsistent learning environments. The student in a classroom setting has all the necessary tools to learn effectively - surrounded by peers who are focussed on the subject matter, easily accessible instructor, environment conducive to learning, etc. At home, or in non-school settings, these factors are not present. Presence of family members can cause stress.",2022-04-06T18:40:15.917Z,Logical appeal user response,Persuadee,13
6sncTa,6sncTaUYliXfuYajHbvN88JlWOH2,I don't really think so. So if a student can have a controlled environment then I know from personal experience that I learned really effectively at home and I know alot of people did to if they had all the resources to learn at home. ,2022-04-06T18:43:18.737Z,Personal story,Persuader,13
6sncTa,6sncTaUYliXfuYajHbvN88JlWOH2,The capital that is spent on the school infrasturcure could be spent to personalize online learning. I belive that it would also be cheaper and more effective if it was allocated correctly.,2022-04-06T18:43:18.737Z,Logical appeal,Persuader,13
48gsIn,48gsInq5azRJDZ4cDUat6uz2JP32,"What you're saying does make sense. I've found when I'm in the mood to take up new information, learning online can be as effective as in-person instruction. However, easy access to sources of distraction, like the internet, makes it really difficult to effectively learn when not in this mental state, at least compared to offline learning.",2022-04-06T18:46:12.495Z,Logical appeal user response,Persuadee,13
6sncTa,6sncTaUYliXfuYajHbvN88JlWOH2,Oh so I think I get what your saying. But there are similar distractions at school to some teachers such as to allow kids to doodle and they combat this with things like guided notes that will help them get through this mental rutt.,2022-04-06T18:48:38.555Z,Logical appeal,Persuader,13
6sncTa,6sncTaUYliXfuYajHbvN88JlWOH2, Also what would one do if someone missed a day of class? Would not spreading sickness be better?,2022-04-06T18:48:38.555Z,Scenario-based inquiry,Persuader,13
48gsIn,48gsInq5azRJDZ4cDUat6uz2JP32,"I guess it really depends on the individual. For me, in-person learning was much easier, but I see why you found online learning to be more effective.",2022-04-06T18:50:24.208Z,Personal story user response,Persuadee,13
i7ZlbOuQAaW5AzKPQrfvMexq6Cs2,i7ZlbO,I believe that online education is beneficial to students and learners,2022-04-06T23:57:41.586Z,Logical appeal,Persuader,14
i7ZlbOuQAaW5AzKPQrfvMexq6Cs2,i7ZlbO,This is because the online medium allows students and teachers to be connected to each other at the most convenient time for both parties.,2022-04-06T23:58:28.189Z,Logical appeal,Persuader,14
uxTc1FRrPLOR9eCN6dslhjYc65j2,uxTc1F,"There are certainly a variety of opinions on this topic. I, for one, believe that although it may have some benefits going for it, online learning can be detrimental to a wide variety of students.",2022-04-06T23:59:07.816Z,Logical appeal user response,Persuadee,14
i7ZlbOuQAaW5AzKPQrfvMexq6Cs2,i7ZlbO,"As students do not need to worry about proximity, they can have access to the best teachers and rescources worldwide.",2022-04-06T23:59:54.762Z,Logical appeal,Persuader,14
uxTc1FRrPLOR9eCN6dslhjYc65j2,uxTc1F,"First of all, for most students (at least from where I am located), students do not get to decide when they meet with the teacher. Teachers decide with their school or college what time the classes should be held at. ",2022-04-07T00:02:07.536Z,Personal story user response,Persuadee,14
uxTc1FRrPLOR9eCN6dslhjYc65j2,uxTc1F,"Also, it is true that students may have access to the best resources, but this does not mean students will take advantage of it and yearn for learning.",2022-04-07T00:02:07.536Z,Logical appeal user response,Persuadee,14
i7ZlbOuQAaW5AzKPQrfvMexq6Cs2,i7ZlbO,I also believe that online learning is more effective as students can repeat recorded classes. The online format also allows teachers to cater to indiviual students more convienetly as well.,2022-04-07T00:03:03.659Z,Logical appeal,Persuader,14
uxTc1FRrPLOR9eCN6dslhjYc65j2,uxTc1F,"Yes, this is true. And as always, there are two sides to this argument: students may not feel the need to focus during a live lecture, relying on recordings, and may procrastinate on replaying recordings. I believe that the argument of whether online learning is beneficial or not is really centered around the nature of the student themselves, and cannot be generalized.",2022-04-07T00:05:26.304Z,Logical appeal user response,Persuadee,14
i7ZlbOuQAaW5AzKPQrfvMexq6Cs2,i7ZlbO,"In conclusion, online learning has its pros and cons, but the convenience of the online medium and the ablity to effectively cater to ones needs makes it effective.",2022-04-07T00:06:04.026Z,Closing remarks,Persuader,14
q6CGbg,q6CGbgpGNFQvffrm6X6xFMDiImh1,Online learning is detrimental to the ability to learn because it allows for significantly higher levels of distraction compared to in person learning,2022-02-16T22:07:29.814Z,Logical appeal user response,Persuadee,15
KmzNUZ,KmzNUZatPnRvogHg8TZcWm17ICi1,"Although there is room to get distracted, it is nice that you can access the videos and lectures at a later time",2022-02-16T22:08:19.596Z,Logical appeal,Persuader,15
q6CGbg,q6CGbgpGNFQvffrm6X6xFMDiImh1,"While that is true of online learning, it doesn't mean that it isn't true for in person classes. Numerous in-person classes allow recording lectures to let you rewatch them later",2022-02-16T22:09:12.756Z,Logical appeal user response,Persuadee,15
KmzNUZ,KmzNUZatPnRvogHg8TZcWm17ICi1,New point: Another benefit though is that you can comfortably watch lectures from somewhere that is comfortable to you rather than in a crowded lecture hall.,2022-02-16T22:10:11.626Z,Logical appeal,Persuader,15
q6CGbg,q6CGbgpGNFQvffrm6X6xFMDiImh1,"I agree that comfort improves learning, but online learning leaves a high possibility to be doing work somewhere that is non-conducive to focusing, as opposed to the curated experience of a lecture hall",2022-02-16T22:11:34.672Z,Logical appeal user response,Persuadee,15
KmzNUZ,KmzNUZatPnRvogHg8TZcWm17ICi1,"New point: I appreciate how in online classes, you can play lectures at your own speed",2022-02-16T22:12:34.275Z,Logical appeal,Persuader,15
q6CGbg,q6CGbgpGNFQvffrm6X6xFMDiImh1,"Alternatively: I think that in person lectures makes it much easier to ask questions, enabling you to better interact with your professor to learn",2022-02-16T22:13:19.578Z,Logical appeal user response,Persuadee,15
KmzNUZ,KmzNUZatPnRvogHg8TZcWm17ICi1,"That is true but in person it is easy to get distracted by other friends and classmates. When doing online lectures on your own, it is easier to call your professor and get 1:1 help.",2022-02-16T22:14:17.364Z,Logical appeal,Persuader,15
q6CGbg,q6CGbgpGNFQvffrm6X6xFMDiImh1,"I can understand what your saying. Thank you for the conversation, good bye",2022-02-16T22:14:56.183Z,Closing remarks user response,Persuadee,15
KmzNUZ,KmzNUZatPnRvogHg8TZcWm17ICi1,Thank you for the interesting conversation! bye,2022-02-16T22:15:08.903Z,Closing remarks,Persuader,15
nwhzum,nwhzumnhDFQtqbWsO0Zvjfv4aL62,Hey,2022-02-18T18:41:38.794Z,Opening remarks,Persuader,16
nwhzum,nwhzumnhDFQtqbWsO0Zvjfv4aL62,Have you ever been a part of any resources for online related learning?,2022-02-18T18:41:38.794Z,Experience-related inquiry,Persuader,16
rOYIxH,rOYIxHlX9gRcJ5f4jaNqMT4t6ru2,"Yes, we had to for Covid and I also took an online french class in high school",2022-02-18T18:42:04.562Z,Experience-related user response,Persuadee,16
nwhzum,nwhzumnhDFQtqbWsO0Zvjfv4aL62,Okay cool! How did you find it?,2022-02-18T18:42:25.734Z,Thought-provoking inquiry,Persuader,16
rOYIxH,rOYIxHlX9gRcJ5f4jaNqMT4t6ru2,"It was okay, I mean I really missed social interaction and often got distracted... I didn't really learn as much",2022-02-18T18:42:49.842Z,Thought-provoking user response,Persuadee,16
nwhzum,nwhzumnhDFQtqbWsO0Zvjfv4aL62,"I think online learning is great! It helps students - not only learn at their own pace, but also go back and relearn anything they missed. With respect to getting distracted - there's certainly ways it could be made better and more interactive but it's a step in the right direction.",2022-02-18T18:43:32.857Z,Logical appeal,Persuader,16
rOYIxH,rOYIxHlX9gRcJ5f4jaNqMT4t6ru2,"I think it's still better to have things in person- online resources can supplement, but I don't think entirely teaching things that way is good",2022-02-18T18:44:29.710Z,Logical appeal user response,Persuadee,16
nwhzum,nwhzumnhDFQtqbWsO0Zvjfv4aL62,"For my CS class right now - we have online where the prof. recorded videos and we ask questions, followed by filling up a quiz. It helps us remain engaged and ensured we were staying focussed. In addition, the resources spent doing in person classes can be put to use in other places!",2022-02-18T18:45:35.217Z,Personal story,Persuader,16
rOYIxH,rOYIxHlX9gRcJ5f4jaNqMT4t6ru2,"A lot of times I see people watching those videos and not really paying attention, even with the quiz. This is especially if you look the answers up/ share with classmates which I feel like happens way more than it should",2022-02-18T18:46:45.013Z,Personal story user response,Persuadee,16
nwhzum,nwhzumnhDFQtqbWsO0Zvjfv4aL62,"Many experts say that while it's still in it's ""child"" phase, we should invest since online learning is clearly something that's going to be around in the future!  Since every quiz counts towards our final grade - most kids take it pretty seriously.",2022-02-18T18:47:34.659Z,Credibility appeal,Persuader,16
rOYIxH,rOYIxHlX9gRcJ5f4jaNqMT4t6ru2,I feel like online learning still should not be a major focus until it is better developed. The current methods of it really don't work for me or a lot of my classmates,2022-02-18T18:48:42.744Z,Credibility user response,Persuadee,16
nwhzum,nwhzumnhDFQtqbWsO0Zvjfv4aL62,"Thanks for the conversation, was pretty insightful! Bye :)",2022-02-18T18:48:56.155Z,Closing remarks,Persuader,16
rOYIxH,rOYIxHlX9gRcJ5f4jaNqMT4t6ru2,"Nice talking to you, Bye!",2022-02-18T18:49:05.839Z,Closing remarks user response,Persuadee,16
Yo9KcL,Yo9KcL7Lh8XCZAFR1KbfS0Exm7y2,"Personally, online learning has been incredibly beneficial for me. For example, in my current MA276 class on proofs I am able to review difficult concepts using online videos recorded for the class. Without these videos, I would have to receive help on these concepts during set office hours.",2022-02-18T21:56:07.385Z,Personal story,Persuader,17
TjzV56,TjzV56lfrughKPO0ndvr6dE8Zaf1,"That makes sense, but sometimes I need in-person interaction with a prof for instant feedback and interaction about a topic if the online video doesn't make sense.",2022-02-18T21:57:50.372Z,Personal story user response,Persuadee,17
Yo9KcL,Yo9KcL7Lh8XCZAFR1KbfS0Exm7y2,Have you tried using online office hours or other virtual meeting options? This might allow for the in-person feedback you mentioned. The advantage of the online format is that there are both synchronous and asynchronous options for help.,2022-02-18T21:58:53.422Z,Experience-related inquiry,Persuader,17
TjzV56,TjzV56lfrughKPO0ndvr6dE8Zaf1,"I have tried online office hours, but problem solving is difficult when screen sharing / not having a white board is difficult to manage.",2022-02-18T22:00:09.018Z,Experience-related user response,Persuadee,17
Yo9KcL,Yo9KcL7Lh8XCZAFR1KbfS0Exm7y2,"Online learning has many supporters across multiple institutions including Rose-Hulman, have you read any online documents or articles on the benefits of these formats?",2022-02-18T22:00:51.666Z,Experience-related inquiry,Persuader,17
IiHPIa,IiHPIaUjFDRcqYrnPoAnK1BXBFj2,So online learning is just the best,2022-03-09T02:21:13.678Z,Logical appeal,Persuader,17
Zer2tH,Zer2tHPMO8YJYqDXeJT3sJiOmaG2,I disagree,2022-03-09T02:21:20.510Z,Logical appeal user response,Persuader,17
IiHPIa,IiHPIaUjFDRcqYrnPoAnK1BXBFj2,How come?,2022-03-09T02:21:24.441Z,Thought-provoking inquiry,Persuader,17
Zer2tH,Zer2tHPMO8YJYqDXeJT3sJiOmaG2,I prefer in person learning because I can interact more with the professor as I have questions come up in real time,2022-03-09T02:21:58.501Z,Thought-provoking user response,Persuadee,17
IiHPIa,IiHPIaUjFDRcqYrnPoAnK1BXBFj2,What happens if you don't understand a teacher's explanation the first time? Sometimes explanations don't make sense until you rehear them. Online is nice because you can rewatch videos until you understand.,2022-03-09T02:22:43.736Z,Scenario-based inquiry,Persuader,17
Zer2tH,Zer2tHPMO8YJYqDXeJT3sJiOmaG2,"Yes but then I can just go in person to office hours and ask them to repeat the explanation and even better, they can rephrase their explanation in a new way so that I can better understand. It allows the professor and I to collaborate more closely and tailor my learning in a more personalized way than just a standard online video that can not be rephrased.",2022-03-09T02:24:25.058Z,Scenario-based inquiry user response,Persuadee,17
IiHPIa,IiHPIaUjFDRcqYrnPoAnK1BXBFj2,"There are virtual office hours as well though, and with the professor's consent, it's easy to also record that second explanation. If you solely met in person, having 2 potentially conflicting explanations could me more confusing and require even MORE time spent with the subject to fully understand it. If this was online, you'd have 2 videos instead of one, and rewatch them BOTH as long as needed.",2022-03-09T02:26:23.942Z,Logical appeal,Persuader,17
Zer2tH,Zer2tHPMO8YJYqDXeJT3sJiOmaG2,"If necessary, during in-person office hours, with the professor's consent you can still record them to rewatch/relisten at a later date. You can also voice your confusion as a student to the professor even after the second explanation and that will allow you to work together to go step by step through the problem in order to get to the root of the problem. However, I acknowledge that technically online learning and in-person learning have the common factor of office hours in certain situations which will benefit the student either ways. The biggest differentiator is the lectures. Being online, you can not immediately stop your professor and get your confusion cleared up right away. If you have a question it requires you still finishing the video, which risk further unnecessary confusion, and emailing/messaging the professor after. This takes up unnecessary time that could potentially be solved by a quick raise of the hand.",2022-03-09T02:31:15.070Z,Logical appeal user response,Persuadee,17
IiHPIa,IiHPIaUjFDRcqYrnPoAnK1BXBFj2,"I think that's a fair concern if we're only talking about instruction given through recorded videos, but a lot of lectures are synchronous, thus you can always interrupt the professor.  In fact, software like Zoom and Teams have raise hand buttons that the professor can use to call on people.",2022-03-09T02:35:18.182Z,Logical appeal,Persuader,17
5OqjbU,5OqjbU5udlMidvvdFoQU8PiZ2Oj2,"Hi, lets talk about online learning!",2022-03-09T21:23:06.443Z,Opening remarks,Persuader,18
qRuZWQ,qRuZWQUrBkYJY50WiQlDmF7DRwl2,"Sure, what's your take on online learning?",2022-03-09T21:23:13.703Z,Opening remarks user response,Persuadee,18
5OqjbU,5OqjbU5udlMidvvdFoQU8PiZ2Oj2,I think it has provided a lot of opportunities and resources to students that weren't previously available,2022-03-09T21:24:01.568Z,Logical appeal,Persuader,18
qRuZWQ,qRuZWQUrBkYJY50WiQlDmF7DRwl2,"While it provides a lot of opportunity and resource to students that weren't previously available, the quality of teaching and subsequently learning is not the same.",2022-03-09T21:24:52.373Z,Logical appeal user response,Persuadee,18
5OqjbU,5OqjbU5udlMidvvdFoQU8PiZ2Oj2,"I'm sorry that you share that point of view but I think you need to really view how much online learning has helped students as a whole, not just personal experiences. Previously, when students needed to miss out of classes or couldn't quite focus on class there were no online videos for them too look back on. Also professors in general are much more forgiving for varying circumstances",2022-03-09T21:28:56.947Z,Emotion appeal,Persuader,18
qRuZWQ,qRuZWQUrBkYJY50WiQlDmF7DRwl2,"Hmm, I see your point. While online I think offers a great opportunity for more students to be reached, I still think the benefits and the experience received come up short compared to in person learning. While many online meeting services have largely improved, in part due to the pandemic, they still don't replicate the in person environment of interacting with peers, getting help from professors immediately.",2022-03-09T21:31:36.151Z,Logical appeal user response,Persuadee,18
5OqjbU,5OqjbU5udlMidvvdFoQU8PiZ2Oj2,What do you think makes the experience so different becasue in my expereince the lectures have been the same in person vs. online?,2022-03-09T21:33:18.526Z,Thought-provoking inquiry,Persuader,18
qRuZWQ,qRuZWQUrBkYJY50WiQlDmF7DRwl2,"In online learning, during lecture, you can pull professors aside to answer your question. Normally, during an online setup, however, you are usually forced to ask the professor the quesiton in front of the entire class, be it thru speaking or thru the chat.",2022-03-09T21:34:41.314Z,Thought-provoking user response,Persuadee,18
0dXf1g,0dXf1gCXcNN9eVrgitmQXKMIn0M2,Hi,2022-03-09T21:41:23.371Z,Opening remarks,Persuader,19
0dXf1g,0dXf1gCXcNN9eVrgitmQXKMIn0M2,Can you tell a tiny bit about your academic background?,2022-03-09T21:41:23.371Z,Experience-related inquiry,Persuader,19
g7M9XO,g7M9XOCn1NbgwOSoWCrbp7fGCxY2,"I'm a second year computer science major, at Rose-Hulman Institute of Technology.",2022-03-09T21:41:50.276Z,Experience-related inquiry user response,Persuadee,19
0dXf1g,0dXf1gCXcNN9eVrgitmQXKMIn0M2,"Ok, sweet, do you have any experience with online learning?",2022-03-09T21:42:07.073Z,Experience-related inquiry,Persuader,19
g7M9XO,g7M9XOCn1NbgwOSoWCrbp7fGCxY2,A bit. I spent my first winter quarter at Rose online.,2022-03-09T21:42:31.833Z,Experience-related inquiry user response,Persuader,19
0dXf1g,0dXf1gCXcNN9eVrgitmQXKMIn0M2,"Ok, what were your thoughts about it? Did you like it, hate it?",2022-03-09T21:42:59.271Z,Thought-provoking inquiry,Persuader,19
g7M9XO,g7M9XOCn1NbgwOSoWCrbp7fGCxY2,"I honestly am neutral to it. Having asynchronous lectures was really nice, but it was hard to keep motivation without being in person. In addition, it was hard to focus on classes when I wasn't in person.",2022-03-09T21:43:52.814Z,Thought-provoking user response,Persuadee,19
0dXf1g,0dXf1gCXcNN9eVrgitmQXKMIn0M2,"Oh, I'm sorry to hear about the motivation and focus challenges you had. Personally, I dealt with a lot of that, but I really appreciated trying the online learning and I've been taking as many online classes I can.",2022-03-09T21:45:37.197Z,Personal story,Persuader,19
g7M9XO,g7M9XOCn1NbgwOSoWCrbp7fGCxY2,I see. Was online learning very helpful for you?,2022-03-09T21:46:31.022Z,Personal story user response,Persuadee,19
0dXf1g,0dXf1gCXcNN9eVrgitmQXKMIn0M2,"Yeah, like you mentioned async was the biggest improvement since I was able to learn things at my own pace and on my own schedule. Which I'm guessing everyone has a weird schedule that could benefit from this. You also mentioned struggling to focus and that happens to me regardless of whether I'm in person or remote so always having the recording was super helpful.",2022-03-09T21:48:29.796Z,Logical appeal,Persuader,19
g7M9XO,g7M9XOCn1NbgwOSoWCrbp7fGCxY2,"Yeah, learning at my own pace was definitely one of the strongest aspects of online learning. The videos that the professor provided were also very useful.",2022-03-09T21:50:18.880Z,Logical appeal user response,Persuadee,19
JPAG9kET5Oh5kNtNjXYPJrmj3ys1,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"Hi, how are you?",2022-03-09T23:10:21.337Z,Opening remarks,Persuader,20
tb8fIF,tb8fIFT7vuXntLdbPMHG3wHitHH2,I'm doing pretty good!,2022-03-09T23:10:29.305Z,Opening remarks user response,Persuadee,20
JPAG9kET5Oh5kNtNjXYPJrmj3ys1,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"Cool! I think online learning is a good system to implement for education, particularly in the case of students with disabilities. What do you think?",2022-03-09T23:11:09.921Z,Thought-provoking inquiry,Persuader,20
tb8fIF,tb8fIFT7vuXntLdbPMHG3wHitHH2,I really thinkthat those students might miss out on hands-on experiences and even socialization,2022-03-09T23:11:35.317Z,Thought-provoking user response,Persuadee,20
JPAG9kET5Oh5kNtNjXYPJrmj3ys1,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"That's understandable, the benefits afforded by online learning do have their consequences like the ones you've brought up. ",2022-03-09T23:12:30.313Z,Logical appeal,Persuader,20
JPAG9kET5Oh5kNtNjXYPJrmj3ys1,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"What do you think about students who are absent from class, isn't it helpful to have the online format with recorded lectures in case you're sick?",2022-03-09T23:12:30.313Z,Thought-provoking inquiry,Persuader,20
tb8fIF,tb8fIFT7vuXntLdbPMHG3wHitHH2,"When classes were in person, teachers provided notes that were pretty solid and easy to catch up on, now I feel like they go half-and-half where you can't have top quality in either realm",2022-03-09T23:13:33.172Z,Thought-provoking user response,Persuadee,20
JPAG9kET5Oh5kNtNjXYPJrmj3ys1,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"That's interesting, I personally haven't quite experienced that but agree that online lectures aren't necessarily the highest quality, especially when mistakes are made. ",2022-03-09T23:14:25.790Z,Logical appeal,Persuader,20
JPAG9kET5Oh5kNtNjXYPJrmj3ys1,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,Have you experienced online learning? ,2022-03-09T23:14:25.790Z,Experience-related inquiry,Persuader,20
JPAG9kET5Oh5kNtNjXYPJrmj3ys1,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"If so, did you think being able to take classes from your room without spending time commuting or necessarily getting ready was convenient?",2022-03-09T23:14:25.790Z,Thought-provoking inquiry,Persuader,20
tb8fIF,tb8fIFT7vuXntLdbPMHG3wHitHH2,"Yeah, I've had online learning, I think that it did save time to do things from my room, but I was distracted often",2022-03-09T23:16:02.453Z,Experience-related inquiry user response,Persuadee,20
JPAG9kET5Oh5kNtNjXYPJrmj3ys1,JPAG9kET5Oh5kNtNjXYPJrmj3ys1,"I see, that definitely makes sense as learning online does lead to a lot of unique experiences which can't quite be controlled. This was a nice conversation, goodbye!",2022-03-09T23:16:47.281Z,Closing remarks,Persuader,20
tb8fIF,tb8fIFT7vuXntLdbPMHG3wHitHH2,"thanks, bye!",2022-03-09T23:16:58.738Z,Closing remarks user response,Persuader,20
